"id","addresse","city","name","postal_code","phone_number"
505,"1, Place de l'Europe","Saint-Jean-de-Védas","ST JEAN DE VEDAS Clinique St Jean","34430","+33800009110"
506,"51, Avenue Carnot","Suresnes","Centre de vaccination de Suresnes","92150","+33141181818"
507,"104, Allée du Vallon","Saint-Nizier-du-Moucherotte","Centre de vaccination  Communauté professionnelle territoriale de santé (CPTS) Vercors","38250","+33616534076"
508,"5, Rue du Chateau","Eybens","Communauté professionnelle territoriale de santé (CPTS) Sud est Grenoblois - Salle des fêtes","38320","+33476003134"
509,"21, Avenue de Montmorency","Goussainville","Gymnase Nelson Mandela ","95190","01.39.94.61.00"
510,"1, Place du Docteur Joseph Baylac","Toulouse","CDV31 CHU Toulouse Purpan","31300","+33800541919"
511,"56, Boulevard Docteur Ricard","La Mure","Maison des Associations et du  Bénévolat (MAB)","38350","+33628349744"
512,", RUE JEAN MONARD","Aix-les-Bains","Centre de vaccination COVID - AIX LES BAINS","73100","+33479885354"
513,"1, Avenue du Professeur Jean Poulhes","Toulouse","CDV31 CHU Toulouse Rangueil","31400","+33800009110"
514,"24, Chemin de Pouvourville","Toulouse","CDV31 - CHU Toulouse Larrey","31400","+33800541919"
515,", Place Lange","Toulouse","CDV31 CHU Toulouse La Grave","31300","+33800541919"
516,"23, Avenue Albert 1er de Belgique","Grenoble","Centre de vaccination de Grenoble - Centre départemental de santé","38000","+33438124847"
517,"11, Boulevard Jean Pain","Grenoble","Centre de vaccinations Nationales et Internationales de la ville de Grenoble","38000","+33476003134"
518,", place Stéphane Hessel","Toulouse","CDV31 Toulouse Bourbaki","31200","+33800541919"
519,"18, Avenue Frédéric Dard","Bourgoin-Jallieu","Centre de vaccination de Bourgoin-Jallieu - Maison du département - Porte des Alpes","38300","+33438124847"
520,"30, Avenue Général Leclerc","Vienne","Centre de vaccination de Vienne","38200","+33438124847"
521,"11, Avenue du Docteur Roux","Saint-Céré","Centre de vaccination - CH Saint Céré","46400","+33800541919"
522,", Route de la Chapelotte","Aubigny-sur-Nère","Centre de Vaccination Aubigny - Salle polyvalente - Les terrasses de la Nère","18700","0 800 009 110"
523,", Avenue de l'Europe","Nogent-le-Rotrou","Centre de vaccination - réservé professionnels de santé et assimilés - CH Nogent-le-Rotrou","28400","0 800 009 110"
524,", Avenue Jean Mermoz","Chartres","Centre de vaccination ""grand public"" CHARTREXPO – Chartres","28000","+33 800 009 110"
525,", Route nationale","Saint-Denis-Lanneray","Centre de vaccination ""grand public"" - Saint-Denis-Lanneray","28200","+33 800 009 110"
526,"5, Avenue Camille Gâté","Nogent-le-Rotrou","Salle Pierre Mendès France – Nogent-le-Rotrou","28400","+33 800 009 110"
527,"7, Rue Paul Montrochet","Lyon","Centre de vaccination de Confluence /Hospices Civils de Lyon","69002","+33423101010"
528,", Champtier du Colombier","Dreux","Centre de vaccination grand public - Espace Paul Bert","28100",NULL
529,"3, Allée du Parc","La Loupe","Accueil jeunesse - Centre de vaccination ""grand public"" - La Loupe","28240","+33805021400"
530,"6, Boulevard Garibaldi","Tarare","Centre de vaccination de l'Hôpital Nord-Ouest-Villefranche - Hôpital de Tarare","69170","+33423101010"
531,"4, Avenue de Tournon","Lamastre","Centre de vaccination de Lamastre","07270","+33800009110"
532,"180, Maison des Associations Rémy ROURE, Allée du 22 Janvier 1963","Guilherand-Granges","Centre de vaccination de la clinique Pasteur de Guilherand-Granges","07500","+33800009110"
533,"23, place des Halles","Tours","Centre de vaccination Tours-Les halles","37000","+33805021400"
534,"6, Rue de l'Hospice","Thizy-les-Bourgs","Centre de vaccination de l'Hôpital de Thizy","69240","+33423101010"
535,"139, Rue du Nantet - Centre Hospitalier","Bourg-Saint-Maurice","Centre de vaccination COVID - Bourg Saint Maurice","73700","+33479077346"
536,"18, Rue Anatole France","Joué-lès-Tours","CV Joué-les-Tours","37300","0805021400"
537,"12, rue de la Solidarité","Caussade","centre de vaccination de Caussade","82300","+33800541919"
538,"21, R des Ecoles","Saint-Jean-de-Maurienne","Centre de vaccination COVID - SAINT JEAN DE MAURIENNE","73300","+33479207142"
539,"Ateliers 13-14-15, Rue Yvette Cauchois","Beaumont-en-Véron","Centre de vaccination - Parc d’Activités du Véron Sud - BELLIPARC","37420","0 800 009 110"
540,"23, Chemin de la Pierre du Roy","Albertville","Centre de vaccination COVID Albertville-Salle Pierre du Roy ","73200","+33479104343"
541,", Allee des Grands Champs - à coté du centre nautique l'Archipel","Sain-Bel","Centre de vaccination de Sain Bel   ","69210","+33423101010"
542,", Les Nongrenières - Route Départementale 766","Neuillé-Pont-Pierre","Centre médical du SDIS - Neuillé-Pont-Pierre","37360","0 800 009 110"
543,", avenue du 14 juillet 1979 - Palais des Congrès Charles Aznavour","Montélimar","Centre de vaccination - Groupement Hospitalier Portes de Provence - Institut de formation en soins infirmiers (IFSI)","26200","+33475534100"
544,"1, Avenue Aristide Briand","Loches","Maison des associations - Loches","37600","0 800 009 110"
545,"38, rue de l'Hotel de ville","Moûtiers","Centre de vaccination COVID - MOUTIERS","73600","+33755582711"
546,"173, Rue Léon Blum","Villeurbanne","Centre de vaccination international de Villeurbanne","69100","+33423101010"
547,", Avenue des Martyrs de la Résistance","Amboise","Salle Molière - Amboise","37400","0 800 009 110"
548,"30, Place de Herce","Laval","Centre de vaccination - LAVAL - Salle polyvalente ","53000","+33243535300"
549,"25, Rue Jean-Baptiste Charcot","Blois","Espace Jorge Semprun - Blois","41000","08 05 02 14 00"
550,"13, Morne Bernus","Les Abymes","Centre de vaccination de l'Institut Pasteur de Guadeloupe","97139","05 90 99 14 74"
551,"28, Chemin de la Garrigue","Villemur-sur-Tarn","CDV31 Villemur sur Tarn","31340","+33800541919"
552,", Chemin Notre-Dame","Albigny-sur-Saône","Centre de vaccination d'Albigny sur Saone - Centre Hospitalier gériatrique du Mont d'Or - Pavillon Violette","69250","+33423101010"
553,"2, Rue Eric Tabarly","Nantes","Centre de Vaccination - REZE - Confluent","44200","+33806000344"
554,"7, Rue des Capucins","Cazères","CDV31 Cazères","31220","+33800541919"
555,"14, Rue du Puy -Salle Charles Michel","Romans-sur-Isère","Centre de vaccination de Romans sur Isère - Salle des cordeliers","26100","+33475792500"
556,", Route de Mesle","Mamers","Centre de vaccination - MAMERS - CHICAM","72600","+33662489459"
557,"122, Avenue Ferdinand Janvier","Annonay","Centre de vaccination d'Annonay","07100","+33475337730"
558,"17, boulevard Aristide Briand","Salon-de-Provence","Ville de Salon de Provence - Salle Polyvalente","13300","+33624904370"
559,"1464, Allee Saint Sauveur","Capesterre-Belle-Eau","Centre de vaccination du CH de Capesterre Belle Eau","97130","0590559967"
560,", Rue Martinière","Belleville-en-Beaujolais","Centre de vaccination de l'Hôpital de Belleville","69220","+33423101010"
561,", Rue du Docteur Giraud","Beaujeu","Centre de vaccination de l'Hôpital de Beaujeu","69430","+33423101010"
562,"2, Avenue Marcel Prat","Cholet","Centre de Vaccination - CHOLET - Salle des fêtes","49300","+33244092533"
563,"39, Avenue Charles Flahault","Montpellier","MONTPELLIER CHU Montpellier Centre Antonin Balmès","34090","+33800541919"
564,"1143, Avenue Francois Mitterrand","Saumur"," Centre Vaccination Covid-19 - Ile des enfants","49400","+33241831288"
565,"58, Imp Alexis Leaud","Saint-Jean-d'Aulps","Maison de santé de la vallée d'Aulps","74430","+33612529410"
566,"1005 p, Section Ducos","Grand-Bourg","Centre de vaccination de Marie Galante","97112","05 90 99 14 74"
567,"319, Avenue Gallieni","Saint-Béat-Lez","CDV31 Saint Béat","31440","+33800541919"
568,"5, Avenue Étienne-françois de Choiseul","Lorient","GHBS - Hôpital du Scorff","56100","+33297069794"
569,"Le Sporting - Salle de la Prée, Route de l'Hippodrome","Beaupréau-en-Mauges","Centre de Vaccination des Mauges à Beaupréau","49600","+33241717705"
570,"1, Rampe de l'hôpital des armées","Lorient","LORIENT - Bâtiment Onc'Oriant (GHBS)","56100","+33297069794"
571,"68, Boulevard Irène Joliot Curie","Vénissieux","Centre de vaccination de la communauté professionnelle territoriale de santé de Venissieux -  Salle communale Irène Joliot-Curie","69200","+33423101010"
572,"1, Place de l'Orgerie","Baugé-en-Anjou","Centre de Vaccination - BAUGE - René d'Anjou","49150","+33973314975"
573,"20 bis, Avenue Général Leclerc","Quimperlé","QUIMPERLE - Hôpital de Villeneuve (GHBS) (réservé aux professionnels des secteurs de la santé et du médico-social)","29300","+33257180061"
574,"1, Place du Tertre Saint-laurent","Angers","Centre de Vaccination - ANGERS - Les Greniers St Jean","49100","+33241055999"
575,", Place Tournois","Bourganeuf","CH BOURGANEUF","23400","+33555515571"
576,"35, Bd du Chevran","Cluses","Médipôle de Cluses","74300",NULL
577,"10, rue Charles Guilleux","Segré-en-Anjou Bleu","Centre de Vaccination - SEGRE EN ANJOU - Salle du Jardin Public - Groupe Milon","49500","+33748728587"
578,"6, Rue de la Croix Louis","Brétigny-sur-Orge","Brétigny CVA","91220","01 69 88 40 64"
579,"96, avenue de Saint-Sauveur","Saint-Clément-de-Rivière","Centre de vaccination St Clément – Clinique du Pic St loup ","34980","+33800009110"
580,"Ancien garage Citroën, 19 Rue René Payot","Morteau","Centre de vaccination de Morteau","25500","0363421013"
581,"8, Rue Michelet","Auterive","CDV31 Auterive","31190","+33800541919"
582,"7, avenue du canal","Sainte-Geneviève-des-Bois","Ste-Geneviève-des-Bois CVA","91700",NULL
583,"220, boulevard Pénélope","Montpellier","MONTPELLIER Centre vaccination à la Clinique du Millénaire","34000","+33800009110"
584,"2, Irène et Frédéric Joliot Curie","Igny","Igny CVA","91430","0169331125"
585,"2, Place du Foirail","Saint-Gaudens","CDV31 Saint Gaudens","31800","+33800541919"
586,"81, Rue Saint Roch","Toulouse","CDV31 Toulouse Niel","31400","+33800541919"
587,"5, Rue des Boutons d'Or","Maîche","Centre de vaccination de Maîche -Salle André GENTIT","25120","0363421013"
588,"5, Rue Daniel Mayer","Longjumeau","Longjumeau CVA","91160","0169741916"
589,"13, Av de la Grangette","Thonon-les-Bains","Centre de vaccination de Thonon - Salle Lemaniaz","74200","+33450336233"
590,"1, Rue du Bos-Haut de Cueille","Tulle","Ecole Baticoop","19000",NULL
591,"1, Place du Bourguet","Forcalquier","Mairie - Salle Pierre Michel","04300","07 76 15 07 10"
592,", Avenue de l'Europe","Massy","Massy CVA","91300","0160919797"
593,", rue du Dr Francis Baud","Annemasse","Complexe Martin Luther King","74100","+33450336233"
594,"80, Rue Émile Baumann","La Roche-sur-Yon","Centre de vaccination COVID - LA ROCHE SUR YON - Petite salle des fêtes du Bourg-sous-la Roche","85000","+33272781110"
595,"8, chemin belle épine","Nozay","Nozay CVA","91620","01.60.82.56.82"
596,"4, Impasse du Collège","Boussac","MSP BOUSSAC","23600","+33608898689"
597,", Allée Aloïs Monnet","Bagnoles de l'Orne Normandie","Centre de Vaccination de Bagnoles de L'Orne","61140",NULL
598,", boulevard des Héllenes","Agde","AGDE Centre de vaccination HOPITAL D'AGDE","34300","+33800009110"
599,"10, Rue du marquis de Raies","Évry-Courcouronnes","Evry Nougaro CVA","91000","01 64 97 49 79"
600,", Chemin du Loup","Saint-Julien-en-Genevois","Centre Hospitalier St Julien en Genevois","74160","+33456497427"
601,"1, Impasse Michelet","Brive-la-Gaillarde","Centre de vaccination - salle du Pont du Buy","19100","+33800190019"
602,"16, Route du Lot","Sarlat-la-Canéda","Centre de vaccination - CH de Jean Leclaire de Sarlat","24200","+33553317694  "
603,"9, Avenue de l'église","Évry-Courcouronnes","Evry-CVAE Foyer Club ","91000","01 64 97 49 79"
604,"25, Avenue du Général de Gaulle","Sarrebourg","Centre de vaccination de Sarrebourg","57400","+33387345345"
605,", Ouches du Budelle","Évaux-les-Bains","CH EVAUX LES BAINS","23110","+33555656041"
606,"3,  Rue Lefèvre Utile","Athis-Mons","Athis-Mons CVA","91200",NULL
607,"1, Rue Calmette","Sarreguemines","Centre de vaccination de Sarreguemines - CHS (salle des fêtes du CHS)","57200","+33387345345"
608,", Avenue des Pyrénées","Muret","CDV31 Muret (Salle Horizon Pyrénées)","31600","+33800009110"
609,"45, avenue du Général De Gaulle","Savigny-sur-Orge","Savigny-sur-Orge CVA","91600","01 69 54 40 35"
610,"77, rue du général Leclerc","Coulommiers","Ville de Coulommiers","77120","+33164753927"
611,"72, Promenade de l’Usine Cnr","Brens","Centre de vaccination de Bugey Sud - Salle polyvalente","01300","+33973056509"
612,"1, Impasse de la Mairie","Brunoy","Brunoy CVA","91800","01 69 39 89 92"
613,"Gymnase Lucien Martinel, Route de l'ermitage","Fontainebleau","Grand centre de vaccination de Fontainebleau","77300","+33177038180"
614,"2, Rue de Balouchan","Fronton","CDV31 Fronton","31620","+33800541919"
615,"121, Rue de la République","Montgeron","Montgeron CVA","91230","0160919797"
616,"Maison du Curiste, Parc Thermal des Quinconces","Bagnères-de-Luchon","CDV31 Bagnères de Luchon","31110","+33800009110"
617,"100, Avenue de Periaz - SEYNOD","Annecy","Centre de vaccination de CAP PERIAZ ANNECY","74000","+33480481130"
618,"55, Bis rue Gustave Flaubert","Le Havre","GHH Site Flaubert","76600","+33800009110"
619,", Rue guillaume lecointe","Le Petit-Quevilly","CHU - Hôpital Saint Julien ","76140","+33800009110"
620,"17, Rue Pierre Farcis","Le Havre","Salle des Fêtes de Bléville","76620","+33800009110"
621,"22, Rue du Sergent Bauchat","Paris","Centre de santé Bauchat-Nation","75012","3975"
622,"1, Place du chapitre","Gif-sur-Yvette","Gif-sur-Yvette CVA","91190","0170565286"
623,"71, Rue du 8 Mai 1945","Les Sables-d'Olonne","Centre de vaccination COVID - LES SABLES D'OLONNE - Olonnespace","85340","+33244410331"
624,"19, Avenue Rene Coty","Lillebonne","CHI Caux Vallée de Seine  - Lillebonne ","76170","+33800009110"
625,"1, Route de Veyziat","Oyonnax","Centre de vaccination du CH d'Oyonnax - Centre hospitalier du Haut Bugey","01100","+33474817545"
626,", Rue André Bertrand","Forges-les-Eaux","Bray et Bresle Centre de vaccination COVID-19","76440","+33800009110"
627,", Place de l'hôtel de Ville","Sotteville-lès-Rouen","Site de Sotteville - salle des fêtes","76300","+33800009110"
629,"19, Place de la Basse Vieille Tour","Rouen","Rouen - Cabinet médical des Carmes","76000","+33800009110"
630,"100, impasse du Grand Chêne","SAINT-MARTIAL-DE-VALETTE","Centre de vaccination - CH de Nontron","24300","+33553608924"
631,"2-8, Place Charles de Gaulle","Vichy","Centre de vaccination de Vichy - Immeuble Arlequin","03200","+33800709999"
632,"23, Impasse des Cedres","Brive-la-Gaillarde","Centre de vaccination CMC LES CEDRES","19100",NULL
633,"2, Rue Fontaine d'Armenie","Marseille","Ville de Marseille","13001","3013"
634,"22, Rue du Pré de Chappes","Saint-Satur","Centre de vaccination de St Satur - Centre socio-culturel Guy Poubeau","18300",NULL
635,"251, Route de Saint Joseph","Nantes","Centre de Vaccination COVID - NANTES Nord - Salle Erdre","44300","+33806000344"
636,"176, Avenue de Montolivet","Marseille","Centre gérontologique départemental","13012","+33486578167"
637,"1, Rue Brient 1er","Châteaubriant","Centre de Vaccination COVID - CHATEAUBRIANT","44110","+33806000344"
638,", L'Octav - Place du Corps Franc Pommies","Vic-en-Bigorre","CENTRE DE VACCINATION DE VIC-EN-BIGORRE","65500","0800009110"
639,", Boulevard Léo Lagrange","Martigues","Salle du Grès","13500","04 13 29 53 29 "
640,"190, Rue Gustave Parre","Bort-les-Orgues","CH Bort les Orgues","19110","+33555087530"
641,"2, Rue du Capitaine Chazotte","Mont-Dore","Centre de vaccination du Centre Hospitalier du Mont Dore","63240","+33473653616"
642,"28, Rue de Charlieu RDC du Pôle Femmes Enfants","Roanne","CENTRE HOSPITALIER  DE ROANNE ","42300","+33970771710"
643,"102, rue de la République","Fontenay-le-Comte","Centre de vaccination COVID - FONTENAY LE COMTE - Salle des OPS","85200","+33256906412"
644,"Salle Coral, Rue Pierre de Coubertin","Ambert","centre de vaccination d' Ambert - Maison de santé pluriprofessionnelle Ambert","63600","+33622923327"
645,"1, Rue des Plantes","Challans","Centre de vaccination COVID - CHALLANS - Salles Louis-Claude Roux","85300","+33251600130"
646,"2, Rue Robert Plotton RDC Bâtiment L","Firminy","Centre de vaccination du CH de Firminy","42700","+33970771710"
647,"5bis, Rue de la Forêt","Saint-Brice-sous-Forêt","Centre de vaccination territorial Centre Val-d’Oise Plaine Vallée Saint-Brice-sous-Forêt ","95350","0134294216"
648,"3, Place de la Boaterie","Feurs","Centre de vaccination site de Feurs - Salle de l'Eden","42110","+33970771710"
651,"255, R Arsene Poncet","Passy","Centre de vaccination de PASSY - Parvis des Fiz","74190","fermé"
649,"85, Rue du Général de Gaulle","Enghien-les-Bains","Centre de vaccination territorial Centre Val d'Oise","95880","0130103980"
653,"39, Boulevard de la Palle","Saint-Étienne","Centre de vaccination de l'Hôpital privé de la Loire ","42100","+33970771710"
654,"65, Rue Alexandre Dumas","Amiens","Centre de vaccination - Pôle privé des cliniques d'Amiens","80090","+33322337443"
655,"28, Rue Vincent Scotto","Toulon","Salle Franck Arnal","83000","+33800808083"
656,"6, Boulevard Just Marie Raynouard","Brignoles","Centre sportif J-J Marcel","83170","+33494861595"
657,", Place de la Paix","Draguignan","Complexe Saint-Exupéry Gymnase Coubertin","83300","+33483083085"
658,"1196, Boulevard de la Mer","Fréjus","Espace Caquot","83600","+33494519160"
659,", Chemin des Nartettes","Hyères","Espace La Villette","83400","08 00 08 34 10"
660,"15, Rue Josse Van Robais","Abbeville","Centre de vaccination - CH Abbeville, Mairie Abbeville ","80100","+33360761033"
661,"1164, Route des Blaquieres","Grimaud","Complexe sportif des Blaquières","83310","+33615169133"
662,"6, Rue des Bains Douches","Les Herbiers","Centre de vaccination COVID - LES HERBIERS - Espace Herbauges","85500","+33251665781"
663,"Salle Dolia, Allée des Cressonnières","Montaigu-Vendée","Centre de vaccination COVID - Terres de Montaigulia","85600","+33251482488"
664,"2, Place de la Prée aux Ducs","Noirmoutier-en-l'Île","Centre de vaccination COVID - NOIRMOUTIER - Espace Hubert Poignant","85330","+33256906412"
665,"17, Impasse du Puits Raimond","L'Île-d'Yeu","Centre de vaccination COVID - ILE D'YEU - Hôpital Dumonté","85350","+33251260802"
666,", Rue des Lauriers","Miramas","Centre de Vaccination Miramas Saint-Chamas - Salle des fêtes de Miramas","13140","+33490172677"
667,", Chemin de la motte des 4 seigneurs","Luçon","Centre de vaccination COVID -Luçon - Espace Plaisance","85400","+33256906412"
668,"28, Rue de la Gare","Domfront en Poiraie","CHIC des Andaines - site de Domfront","61700",NULL
669,"25, Rue Fortier","Douai","Centre de vaccination - CPTS du Grand Douai- salle d'Anchin Douai","59500","03 92 04 34 71 "
670,"3, Rue de Bapaume","Férin","Centre de vaccination - CPTS du Grand Douai - salle du Chaudron Férin","59169","+33392043471 "
671,"1, Place de Wattignies-la-Victoire","Maubeuge","Centre de vaccination - CPTS Val de Sambre La LUNA","59600","+33392043471"
672,"9bis, Rue du Pila","Carbonne","CDV31 Carbonne","31390","+33800541919"
673,", Rue Albert Poutrain","Orchies","Centre de vaccination - CPTS Pévèle du Douaisis, Salle la Grange","59310","03 92 04 34 71 "
674,"6, rue Camille Guérin","Ploufragan","PLOUFRAGAN - Espace des sciences","22440","0800 009 110 "
675,"9, Rue Chantepie Mancier","L'Isle-Adam","Centre de vaccination territorial du Haut Val d'Oise","95290","+33659103906"
676,"2, Rue Rodin","Pontoise","Centre de vaccination Linandes-Cordeliers/site des Cordeliers","95300","01.34.43.34.44"
677,"5, Boulevard Gambetta","Saint-Marcellin","Centre de vaccination du CH de Saint Marcellin","38160","+33476385332"
678,"43, Rue du Plateau","Pontault-Combault"," Ville de Pontault Combault","77340","+33170054888"
679,"17, Rue Petit de Beauverger","Brie-Comte-Robert","Centre de vaccination GHSIF MELUN - Site de Brie Comte Robert","77170","+33181742700"
680,"185, Avenue de Fontainebleau","Saint-Fargeau-Ponthierry","Ville de Saint Fargeau","77310","+33625405522 "
681,"115, Avenue du Gendarme Castermant","Chelles","Ville de Chelles","77500","+33164728535"
682,"228, Chemin de Saint Claude","Antibes","Maison des Associations Antibes","06600","+33492913579"
683,"730, Avenue Georges Pompidou","Le Cannet","Salle RECROIX, Le Cannet","06110","+33493464888"
684,"2, Rue Pierre Corneille","Montereau-Fault-Yonne","Ville de Montereau","77130","+33182340025"
685,"135, route de Moret","Nemours","Ville de Nemours","77140","+33164787071"
686,"20, Avenue du Général de Gaulle","Mandelieu-la-Napoule","Espace Maurice Muller, Mandelieu","06210","+33492974832"
687,"23, Boulevard d'Auron","Saint-Étienne-de-Tinée","CPTS Tinée Vésubie -  site MSP de la Haute Tinée","06660",NULL
688,"13, Rue Docteur Matteo","Roquebillière","CPTS Tinée Vésubie - Site MSP de Roquebillière","06450","+33493029110"
689,"28, Avenue du Président Auriol","Montluçon","Centre de vaccination de Montluçon ","03100","+33801902409"
690,", Route principale St Dalmas Voldeblore","Valdeblore","CPTS Tinée Vésubie - Site MSP Valdeblore","06420","+33493020587"
691,", Place Pierre Meunier","Chenôve","CHENOVE Salle des fêtes","21300","+33345810421"
692,"1, Pl de la Republique","Nancy","Nancy - Centre Prouvé","54000",NULL
693,"3, rue de Gembloux","VandÅ“uvre-lès-Nancy","Centre de vaccination de Vandoeuvre - Parc des Sports","54500",NULL
694,"2, Rue Sainte-Odile","Villers-lès-Nancy","Centre de vaccination Villers-lès-Nancy Sainte Thérèse","54600",NULL
695,", Rue Jean Moulin (salles des fêtes)","Marennes-Hiers-Brouage","CENTRE MARENNES","17320","+33586570029"
696,"15, Rue Marechal Foch","Jarville-la-Malgrange","Jarville - Espace communal Foch","54140",NULL
697,", Salle Ste Victoire, "" le plateau "" - Chemin du Cimetière","Ventabren","Centre de vaccination intercommunal Velaux - Ventabren - La Fare les Olivierss - Eguilles - Coudoux","13122",NULL
698,"90, Bd Jean Jaures","Tomblaine","Centre de vaccination Stade Marcel Picot","54510",NULL
699,"2, Avenue Marie Curie","Labastide-Rouairoux","MSP Haute Vallée du Thoré Labastide Rouairoux","81270","+33800 009 110 "
700,"2, Rue Dinot","Marans","CENTRE MARANS","17230","+33532920601"
701,"6, Rue mouexigne","Lamballe-Armor","LAMBALLE - Salle municipale","22400","0800 009 110 "
702,", Rue Victor Basch","Dinan","DINAN - Centre des congrès","22100","0800 009 110 "
703,"106, Rue Eugène Pottier","Rennes","RENNES SOS Médecin","35000","+33805690821"
704,"34, Rue de Moncontour","Loudéac","LOUDEAC - Foyer municipal","22600","0800 009 110 "
705,", Rue Hyacinthe Cheval","Guingamp","GUINGAMP - Centre social","22200","0800 009 110 "
706,"44, Cours Victor Hugo","Valréas","Centre de vaccination de Valréas","84600","+33490353031"
707,"12, Boulevard Albert 1er","Rennes","RENNES - Complexe sportif Bréquigny","35200","+33805690821"
708,", Route du Radôme","Pleumeur-Bodou","PLEUMEUR-BODOU - Phoenix (ancien CDV de Lannion)","22560","0800 009 110"
709,"2, Rue du Pratel","Auray","AURAY - CH","56400","+33297019956"
710,"1, Boulevard Henri Barbusse","Carmaux","Centre de vaccination du Carmausin - Salle François Mitterand","81400","+33800541919"
711,"3, Rue de Brocéliande","Saint-Grégoire","ST-GREGOIRE - Brocéliande","35760","+33805690821"
712,", Boulevard du stade","Grand-Champ","GRANDCHAMP - Salle multifonctionnelle","56390","+33297019956"
713,"131, Route des Allards","Saint-Pierre-d'Oléron","CENTRE OLERON","17310","+33970775443"
714,", Avenue du parc","Muzillac","MUZILLAC - Salle du COSEC","56190","+33297019956"
715,", château de la Fresnay","Falaise","Falaise : salle du pressoir","14700","+33800009110"
716,"1, Rue Georges Clémenceau","Saint-Malo","ST-MALO - Piscine du Naye","35400","0 800 009 110"
717,", Rue Jean Assemat","Mazamet","Centre de vaccination de Mazamet - Palais des Congrès","81200","+33800 009 110 "
718,"104, Rue de Saint Fiacre","Le Faouët","LE FAOUET - Maison de santé","56320","+33297069794"
719,"14bis, Rue Notre-Dame","Pornic","Centre de vaccination - PORNIC - Salle Polyvalente Béziers","44210","+33806000344"
720,", impasse Léo Lagrange","Reims","Centre de vaccination - René Tys (entrée parking René Thys)","51100","03 26 77 78 79"
721,"3, Avenue Philippsburg","Saint-Martin-de-Ré","CENTRE SAINT MARTIN DE Ré","17410","+33546093896"
722,"4 bis, Rue de Mars","Reims","Centre de vaccination Reims - Le Cellier","51100",NULL
723,"8, Rue du Docteur René Laennec","Saintes","Centre de vaccination Saintes CRF","17100","+33546923414"
724,"22, Avenue Paule Maraux","Rochefort","CENTRE DE ROCHEFORT","17300","+33546826556"
725,"57, Avenue Jean Moulin","Jonzac","Centre de vaccination Covid-19 du Centre des Congrès de Jonzac","17500","+33 5 17 24 03 48"
726,"68, Place d'Hautpoul","Gaillac","CPTS du Grand Gaillacois - centre de vaccination mairie de Gaillac - salle des Mariages","81600","+33800541919"
727,"2, Rue du Collège","Montlieu-la-Garde","CENTRE MONTLIEU LA GARDE","17210","+33 5 17 24 03 48"
728,"20, Avenue de Saint-sordelin-plage","Vaux-sur-Mer","CENTRE HOSPITALIER ROYAN","17640","+33546396439"
729,"11, rue de la cité","Pont-l'Abbé-d'Arnoult","CENTRE PONT L'ABBE D'ARNOULT","17250","+33 5 46 93 16 01"
730,"2, Rue des Entrepreneurs","Saint-Renan","ST RENAN - ZA Mespaol","29290","+33257180061"
731,", Avenue Simon Laguna","Aubagne","Centre de Vaccination COVID d’Aubagne / Espace du Bras d'Or ","13400","04 42 01 90 28"
732,"1039, Coatigoff","Châteaulin","CHATEAULIN - Espace Penmez","29150","+33257180061"
733,"222, Avenue de Rochefort","Royan","CENTRE CLINIQUE PASTEUR ROYAN","17200","+33546396439"
734,"18, Avenue du Port","Saint-Jean-d'Angély","Centre de Vaccination Saint Jean d'Angély","17400","+33546951111 "
735,"106, Boulevard Général de Gaulle","La Trinité","Antenne de vaccination CCAS de la Trinité","06340","+33493276442"
736,", Rue de Stang Bihan","Quimper","QUIMPER - Salle des fêtes Dan Ar Braz","29000","+33257180061"
737,", Place Saint-françois","Sospel","CPTS de la Riviera Française - Site MSP de Sospel","06380","04 93 04 30 42 "
738,"8, Allee Sainte Croix","Douarnenez","DOUARNENEZ - Espace sportif Jules Verne","29100","+33257180061"
739,"12, Cours Jules Ferry","Pons","CENTRE PONS ","17800","+33 5 17 24 03 48"
740,", Allée du Bois Noir","Landerneau","LANDERNEAU - Bois Noir (ancien bricomarché)","29800","+33257180061"
741,"13, Boulevard de la Gare","Quimperlé","QUIMPERLE - Gymnase Cordiers","29300","+33257180061"
742,", rue antonin gaboriaud","Surgères","CENTRE VACCINATION SURGERES","17700","+33546070684"
743,"12, rue Camille Rigaud","Fismes","Centre de vaccination de Fismes","51170","03 26 77 78 79"
744,"1, Place de la Republique","Cernay-lès-Reims","Centre de vaccination de Cernay-les-Reims - Salle de La Marelle","51420",NULL
745,"3, Rempart Marechal Foch","Obernai","Centre de vaccination d'Obernai- Salle des Fêtes","67210","09 70 81 81 61"
746,"10, Rue des Forges","Schirmeck","Centre de vaccination St Luc Schirmeck - antenne du groupe Saint Vincent de Strasbourg ","67130","+33970818161"
747,"2, Rue Jacques Monod","Albi","Centre de vaccination Clinique Toulouse Lautrec","81000","+33800541919"
748,"1115, Avenue René Porterat","Mirecourt","Centre de vaccination de Mirecourt","88500","+33329370077"
749,"7, Rue Parmentier","Essey-lès-Nancy","Essey - Pôle médical Pasteur/Kléber","54270",NULL
750,"45, Rue de Puyguillen","Ruelle-sur-Touvre","Centre de vaccination de Ruelle sur Touvre","16600","+33782406008"
751,"8, Promenade de la Mer","Menton","Centre Menton Plus Sablettes","06500","+33489815204"
752,", Rue de la Cokerie","Valenciennes","Centre de vaccination - Centre Hospitalier de Valenciennes et CPTS du Valenciennois 2, Salle JEAN MINEUR","59300","+33327140829"
